Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE
People,Ancestry,West Indian (excluding Hispanic origin groups),5269,(+/- 1713 ),2876,(+/- 1176 ),4001,(+/- 1844 ),35145,(+/- 7644 ),9791,(+/- 1967 ),7547,(+/- 2698 ),13838,(+/- 4879 ),3279,(+/- 1732 ),1200,(+/- 739 ),9511,(+/- 4226 ),9452,(+/- 3059 ),3102,(+/- 1443 ),21179,(+/- 7477 ),2409,(+/- 1853 )
People,Veteran Status,Civilian population 18 years and over,543954,(+/- 3672 ),498423,(+/- 5166 ),555009,(+/- 6749 ),555629,(+/- 10688 ),593548,(+/- 10730 ),574857,(+/- 9905 ),574596,(+/- 10926 ),534038,(+/- 4573 ),566044,(+/- 5124 ),565653,(+/- 9247 ),576191,(+/- 8586 ),539059,(+/- 4181 ),541238,(+/- 11650 ),533096,(+/- 2690 )
People,Veteran Status,Civilian veterans,65794,(+/- 3789 ),47553,(+/- 3329 ),49207,(+/- 3617 ),45706,(+/- 4765 ),33797,(+/- 3387 ),33427,(+/- 3262 ),29180,(+/- 2316 ),53075,(+/- 3857 ),47355,(+/- 3485 ),42273,(+/- 2952 ),44734,(+/- 3278 ),59162,(+/- 4009 ),50544,(+/- 4789 ),41853,(+/- 3342 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,705201,(+/- 4704 ),638458,(+/- 6697 ),721380,(+/- 9867 ),745926,(+/- 15876 ),737042,(+/- 14198 ),754073,(+/- 12930 ),784905,(+/- 17061 ),687694,(+/- 5663 ),729546,(+/- 6980 ),728869,(+/- 14056 ),757822,(+/- 12931 ),688597,(+/- 6389 ),740399,(+/- 16669 ),700876,(+/- 4280 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,105081,(+/- 6084 ),112291,(+/- 5008 ),101018,(+/- 5135 ),78500,(+/- 5882 ),89767,(+/- 5791 ),54610,(+/- 4771 ),54936,(+/- 4538 ),107563,(+/- 5405 ),126705,(+/- 7247 ),93982,(+/- 5160 ),75551,(+/- 4970 ),107066,(+/- 5145 ),87257,(+/- 7143 ),107646,(+/- 5521 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,174553,(+/- 2352 ),162457,(+/- 3281 ),173381,(+/- 5070 ),195118,(+/- 8742 ),153542,(+/- 9063 ),180972,(+/- 7667 ),214681,(+/- 8392 ),170683,(+/- 2932 ),169279,(+/- 4122 ),175059,(+/- 7908 ),186611,(+/- 6628 ),170186,(+/- 2532 ),203867,(+/- 10344 ),175937,(+/- 2068 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,10629,(+/- 2275 ),8840,(+/- 1892 ),9201,(+/- 1693 ),6510,(+/- 1988 ),7511,(+/- 2041 ),4992,(+/- 1529 ),7085,(+/- 1990 ),8964,(+/- 1753 ),10053,(+/- 2672 ),7504,(+/- 1942 ),7055,(+/- 2048 ),9980,(+/- 2000 ),10701,(+/- 4242 ),8633,(+/- 1812 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,428429,(+/- 3780 ),380449,(+/- 4788 ),443939,(+/- 6276 ),470860,(+/- 10686 ),501941,(+/- 9839 ),484046,(+/- 9202 ),493007,(+/- 10402 ),415134,(+/- 4796 ),430845,(+/- 5822 ),452409,(+/- 9289 ),483955,(+/- 8893 ),421323,(+/- 5124 ),456364,(+/- 11291 ),421458,(+/- 3332 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,57637,(+/- 4335 ),60952,(+/- 3846 ),53408,(+/- 4023 ),44776,(+/- 4405 ),51381,(+/- 4697 ),27267,(+/- 3482 ),26002,(+/- 3150 ),56617,(+/- 4144 ),65315,(+/- 5068 ),51377,(+/- 3889 ),40540,(+/- 3814 ),58562,(+/- 3665 ),48445,(+/- 4872 ),56004,(+/- 4069 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,102219,(+/- 1851 ),95552,(+/- 2236 ),104060,(+/- 2790 ),79948,(+/- 3373 ),81559,(+/- 4014 ),89055,(+/- 3844 ),77217,(+/- 2967 ),101877,(+/- 1958 ),129422,(+/- 2434 ),101401,(+/- 3499 ),87256,(+/- 2949 ),97088,(+/- 1827 ),80168,(+/- 4079 ),103481,(+/- 1989 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,36815,(+/- 2686 ),42499,(+/- 2543 ),38409,(+/- 2802 ),27214,(+/- 2704 ),30875,(+/- 2734 ),22351,(+/- 2051 ),21849,(+/- 2343 ),41982,(+/- 2772 ),51337,(+/- 2982 ),35101,(+/- 2907 ),27956,(+/- 2427 ),38524,(+/- 2634 ),28111,(+/- 2726 ),43009,(+/- 2924 )
People,Residence 1 Year Ago,Population 1 year and over,723665,(+/- 4896 ),663968,(+/- 6757 ),721601,(+/- 9844 ),742807,(+/- 16004 ),738934,(+/- 14191 ),747076,(+/- 13225 ),781101,(+/- 16589 ),701316,(+/- 4912 ),728882,(+/- 6850 ),731656,(+/- 13597 ),752871,(+/- 12462 ),709732,(+/- 5688 ),734846,(+/- 16469 ),701405,(+/- 3571 )
People,Residence 1 Year Ago,Same house,574053,(+/- 10721 ),547252,(+/- 10475 ),623264,(+/- 11538 ),616261,(+/- 16723 ),579827,(+/- 13590 ),620571,(+/- 15010 ),673822,(+/- 17756 ),594202,(+/- 9633 ),640537,(+/- 9374 ),609328,(+/- 13330 ),624135,(+/- 12825 ),590113,(+/- 9954 ),607480,(+/- 19324 ),614002,(+/- 8722 )
People,Residence 1 Year Ago,Different house in the U.S.,146105,(+/- 9251 ),114473,(+/- 8932 ),94719,(+/- 7882 ),119058,(+/- 12179 ),153454,(+/- 9489 ),111411,(+/- 10207 ),98514,(+/- 9455 ),103680,(+/- 7795 ),84798,(+/- 6874 ),121163,(+/- 10469 ),122176,(+/- 11253 ),115569,(+/- 7559 ),124234,(+/- 14567 ),86318,(+/- 8091 )
People,Residence 1 Year Ago,Same county,85743,(+/- 7069 ),61361,(+/- 7109 ),48154,(+/- 6141 ),59876,(+/- 8040 ),79551,(+/- 6748 ),49035,(+/- 6304 ),46799,(+/- 6822 ),51936,(+/- 6662 ),35542,(+/- 4558 ),53762,(+/- 7445 ),63974,(+/- 7903 ),54191,(+/- 5328 ),55036,(+/- 8645 ),47994,(+/- 6969 )
People,Residence 1 Year Ago,Different county,60362,(+/- 6319 ),53112,(+/- 4956 ),46565,(+/- 5482 ),59182,(+/- 9930 ),73903,(+/- 6540 ),62376,(+/- 7641 ),51715,(+/- 6172 ),51744,(+/- 6493 ),49256,(+/- 6350 ),67401,(+/- 7783 ),58202,(+/- 7994 ),61378,(+/- 6353 ),69198,(+/- 10232 ),38324,(+/- 4839 )
People,Residence 1 Year Ago,Same state,31600,(+/- 5499 ),32097,(+/- 3501 ),28866,(+/- 4292 ),35795,(+/- 8222 ),43286,(+/- 5952 ),33780,(+/- 5259 ),23350,(+/- 3287 ),33059,(+/- 4410 ),38081,(+/- 5947 ),48569,(+/- 6069 ),35101,(+/- 6598 ),38472,(+/- 5189 ),51580,(+/- 10277 ),24042,(+/- 3902 )
People,Residence 1 Year Ago,Different state,28762,(+/- 3671 ),21015,(+/- 3145 ),17699,(+/- 4055 ),23387,(+/- 6110 ),30617,(+/- 3854 ),28596,(+/- 4925 ),28365,(+/- 5751 ),18685,(+/- 4723 ),11175,(+/- 2479 ),18832,(+/- 4935 ),23101,(+/- 5058 ),22906,(+/- 4075 ),17618,(+/- 4120 ),14282,(+/- 3104 )
People,Residence 1 Year Ago,Abroad,3507,(+/- 1231 ),2243,(+/- 817 ),3618,(+/- 1254 ),7488,(+/- 3247 ),5653,(+/- 1386 ),15094,(+/- 4173 ),8765,(+/- 2384 ),3434,(+/- 2253 ),3547,(+/- 1996 ),1165,(+/- 709 ),6560,(+/- 2237 ),4050,(+/- 1776 ),3132,(+/- 1491 ),1085,(+/- 482 )
Workers,Employment Status,Population 16 years and over,577605,(+/- 3698 ),526935,(+/- 5446 ),577228,(+/- 7005 ),579497,(+/- 10963 ),609280,(+/- 10861 ),597274,(+/- 10062 ),598727,(+/- 11211 ),557865,(+/- 4540 ),587984,(+/- 5395 ),587021,(+/- 9603 ),598862,(+/- 8941 ),566528,(+/- 4221 ),565860,(+/- 12015 ),554745,(+/- 2863 )
Workers,Employment Status,In labor force,359844,(+/- 5809 ),290237,(+/- 7140 ),356985,(+/- 8626 ),383224,(+/- 9876 ),400575,(+/- 8870 ),422095,(+/- 8795 ),411339,(+/- 9786 ),320374,(+/- 7067 ),334751,(+/- 7905 ),352466,(+/- 9054 ),408608,(+/- 8862 ),323045,(+/- 7742 ),382790,(+/- 11918 ),338954,(+/- 5928 )
Workers,Employment Status,Civilian labor force,344455,(+/- 6096 ),279653,(+/- 7169 ),355776,(+/- 8579 ),382013,(+/- 9887 ),400095,(+/- 8791 ),421948,(+/- 8769 ),410933,(+/- 9895 ),315543,(+/- 7042 ),334107,(+/- 7926 ),351928,(+/- 9002 ),407428,(+/- 8859 ),312622,(+/- 7931 ),381920,(+/- 11937 ),338055,(+/- 6051 )
Workers,Employment Status,Employed,316254,(+/- 6266 ),254588,(+/- 6970 ),333783,(+/- 7937 ),354546,(+/- 8983 ),369894,(+/- 8338 ),406412,(+/- 8418 ),397763,(+/- 9677 ),296929,(+/- 7008 ),320581,(+/- 8292 ),331415,(+/- 9323 ),388596,(+/- 8465 ),289961,(+/- 8587 ),356040,(+/- 11417 ),319185,(+/- 6177 )
Workers,Employment Status,Unemployed,28201,(+/- 3639 ),25065,(+/- 2625 ),21993,(+/- 2549 ),27467,(+/- 4252 ),30201,(+/- 3478 ),15536,(+/- 2854 ),13170,(+/- 2114 ),18614,(+/- 2794 ),13526,(+/- 2110 ),20513,(+/- 2672 ),18832,(+/- 2809 ),22661,(+/- 2336 ),25880,(+/- 3779 ),18870,(+/- 2862 )
Workers,Employment Status,Armed Forces,15389,(+/- 1648 ),10584,(+/- 1402 ),1209,(+/- 702 ),1211,(+/- 636 ),480,(+/- 465 ),147,(+/- 251 ),406,(+/- 354 ),4831,(+/- 1630 ),644,(+/- 505 ),538,(+/- 479 ),1180,(+/- 794 ),10423,(+/- 2324 ),870,(+/- 627 ),899,(+/- 619 )
Workers,Employment Status,Not in labor force,217761,(+/- 5691 ),236698,(+/- 6162 ),220243,(+/- 6510 ),196273,(+/- 7099 ),208705,(+/- 8749 ),175179,(+/- 6472 ),187388,(+/- 7383 ),237491,(+/- 7486 ),253233,(+/- 7253 ),234555,(+/- 6878 ),190254,(+/- 5997 ),243483,(+/- 7132 ),183070,(+/- 8247 ),215791,(+/- 6265 )
Workers,Employment Status,Civilian labor force,344455,(+/- 6096 ),279653,(+/- 7169 ),355776,(+/- 8579 ),382013,(+/- 9887 ),400095,(+/- 8791 ),421948,(+/- 8769 ),410933,(+/- 9895 ),315543,(+/- 7042 ),334107,(+/- 7926 ),351928,(+/- 9002 ),407428,(+/- 8859 ),312622,(+/- 7931 ),381920,(+/- 11937 ),338055,(+/- 6051 )
Workers,Employment Status,Unemployment Rate,8.2,(+/- 1.0 ),9.0,(+/- 0.9 ),6.2,(+/- 0.7 ),7.2,(+/- 1.0 ),7.5,(+/- 0.8 ),3.7,(+/- 0.7 ),3.2,(+/- 0.5 ),5.9,(+/- 0.9 ),4.0,(+/- 0.6 ),5.8,(+/- 0.8 ),4.6,(+/- 0.7 ),7.2,(+/- 0.8 ),6.8,(+/- 1.0 ),5.6,(+/- 0.8 )
Workers,Commuting to Work,Workers 16 years and over,322156,(+/- 6707 ),259517,(+/- 6428 ),328697,(+/- 8246 ),344354,(+/- 8995 ),363536,(+/- 7908 ),398708,(+/- 8492 ),389796,(+/- 9451 ),295714,(+/- 7016 ),314916,(+/- 8461 ),322944,(+/- 9433 ),384295,(+/- 8780 ),293410,(+/- 7977 ),349510,(+/- 11559 ),314264,(+/- 5908 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",257935,(+/- 7556 ),203415,(+/- 7148 ),269165,(+/- 7226 ),261570,(+/- 8949 ),250077,(+/- 8121 ),296945,(+/- 9188 ),308434,(+/- 9112 ),247376,(+/- 6889 ),258772,(+/- 8065 ),266571,(+/- 9577 ),308132,(+/- 8533 ),245146,(+/- 7853 ),278444,(+/- 10243 ),262368,(+/- 6449 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",32125,(+/- 3595 ),28840,(+/- 3246 ),32527,(+/- 3997 ),38769,(+/- 4580 ),29219,(+/- 3352 ),34416,(+/- 4232 ),41564,(+/- 4699 ),31858,(+/- 3638 ),32566,(+/- 3467 ),29030,(+/- 2920 ),29601,(+/- 3237 ),27018,(+/- 3248 ),33370,(+/- 4539 ),30348,(+/- 2404 )
Workers,Commuting to Work,Public transportation (excluding taxicab),5093,(+/- 1283 ),1872,(+/- 748 ),1571,(+/- 902 ),16590,(+/- 2175 ),36585,(+/- 3881 ),14471,(+/- 2779 ),2703,(+/- 1035 ),655,(+/- 353 ),1098,(+/- 597 ),2705,(+/- 813 ),3790,(+/- 1980 ),2644,(+/- 865 ),9179,(+/- 2086 ),1072,(+/- 618 )
Workers,Commuting to Work,Walked,8517,(+/- 1656 ),5939,(+/- 1267 ),2545,(+/- 806 ),3151,(+/- 1020 ),13141,(+/- 2096 ),6173,(+/- 1751 ),2800,(+/- 1103 ),4745,(+/- 1435 ),3389,(+/- 1105 ),5983,(+/- 1427 ),5139,(+/- 1485 ),5725,(+/- 1349 ),2767,(+/- 988 ),2687,(+/- 935 )
Workers,Commuting to Work,Other means,6213,(+/- 1473 ),4662,(+/- 1435 ),5762,(+/- 1672 ),5833,(+/- 1592 ),10435,(+/- 1751 ),7385,(+/- 2025 ),6984,(+/- 2199 ),3849,(+/- 1058 ),3582,(+/- 1073 ),4701,(+/- 1150 ),5659,(+/- 1999 ),5297,(+/- 1449 ),5980,(+/- 1735 ),2995,(+/- 1138 )
Workers,Commuting to Work,Worked at home,12273,(+/- 1882 ),14789,(+/- 1616 ),17127,(+/- 2684 ),18441,(+/- 2738 ),24079,(+/- 3014 ),39318,(+/- 3399 ),27311,(+/- 2892 ),7231,(+/- 1736 ),15509,(+/- 2334 ),13954,(+/- 2068 ),31974,(+/- 3015 ),7580,(+/- 1464 ),19770,(+/- 2918 ),14794,(+/- 2415 )
Workers,Commuting to Work,Mean travel time to work (minutes),23.6,(+/- 0.7 ),21.0,(+/- 0.8 ),29.2,(+/- 0.8 ),34.3,(+/- 0.9 ),28.2,(+/- 0.7 ),29.7,(+/- 0.7 ),33.4,(+/- 0.8 ),22.0,(+/- 0.6 ),27.8,(+/- 0.8 ),29.1,(+/- 0.9 ),32.1,(+/- 0.8 ),22.9,(+/- 0.7 ),33.0,(+/- 1.0 ),28.3,(+/- 0.9 )
Workers,Occupation,Civilian employed population 16 years and over,316254,(+/- 6266 ),254588,(+/- 6970 ),333783,(+/- 7937 ),354546,(+/- 8983 ),369894,(+/- 8338 ),406412,(+/- 8418 ),397763,(+/- 9677 ),296929,(+/- 7008 ),320581,(+/- 8292 ),331415,(+/- 9323 ),388596,(+/- 8465 ),289961,(+/- 8587 ),356040,(+/- 11417 ),319185,(+/- 6177 )
Workers,Occupation,"Management, business, science, and arts occupations",100056,(+/- 5625 ),70841,(+/- 3406 ),109960,(+/- 6056 ),124499,(+/- 5393 ),164406,(+/- 6572 ),219400,(+/- 7178 ),161868,(+/- 6170 ),94518,(+/- 5296 ),95985,(+/- 4889 ),114378,(+/- 6003 ),170385,(+/- 6719 ),92085,(+/- 4551 ),119756,(+/- 6338 ),87823,(+/- 5092 )
Workers,Occupation,Service occupations,59725,(+/- 4348 ),53951,(+/- 4410 ),51237,(+/- 3693 ),60525,(+/- 5219 ),62630,(+/- 4963 ),56010,(+/- 5691 ),62532,(+/- 4984 ),51149,(+/- 3895 ),52832,(+/- 3559 ),52280,(+/- 4012 ),61684,(+/- 5529 ),54574,(+/- 4369 ),62324,(+/- 5805 ),48798,(+/- 4826 )
Workers,Occupation,Sales and office occupations,75005,(+/- 4433 ),58264,(+/- 3784 ),83501,(+/- 5325 ),87450,(+/- 5732 ),86027,(+/- 5326 ),91022,(+/- 5390 ),101683,(+/- 5702 ),72954,(+/- 4891 ),77283,(+/- 4398 ),79375,(+/- 5016 ),94859,(+/- 6249 ),67746,(+/- 4349 ),91952,(+/- 6559 ),75441,(+/- 4565 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",37623,(+/- 3396 ),25714,(+/- 2240 ),36272,(+/- 3501 ),30534,(+/- 3367 ),18428,(+/- 3155 ),21277,(+/- 2853 ),35877,(+/- 3843 ),37698,(+/- 3852 ),36501,(+/- 3039 ),35308,(+/- 3526 ),30552,(+/- 3973 ),33877,(+/- 3536 ),28678,(+/- 3112 ),37771,(+/- 3734 )
Workers,Occupation,"Production, transportation, and material moving occupations",43845,(+/- 3750 ),45818,(+/- 3997 ),52813,(+/- 3615 ),51538,(+/- 4632 ),38403,(+/- 3732 ),18703,(+/- 2257 ),35803,(+/- 3423 ),40610,(+/- 3716 ),57980,(+/- 4555 ),50074,(+/- 4743 ),31116,(+/- 3323 ),41679,(+/- 3722 ),53330,(+/- 5442 ),69352,(+/- 4487 )
Workers,Industry,Civilian employed population 16 years and over,316254,(+/- 6266 ),254588,(+/- 6970 ),333783,(+/- 7937 ),354546,(+/- 8983 ),369894,(+/- 8338 ),406412,(+/- 8418 ),397763,(+/- 9677 ),296929,(+/- 7008 ),320581,(+/- 8292 ),331415,(+/- 9323 ),388596,(+/- 8465 ),289961,(+/- 8587 ),356040,(+/- 11417 ),319185,(+/- 6177 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",3906,(+/- 1155 ),9531,(+/- 1915 ),1165,(+/- 601 ),1132,(+/- 754 ),426,(+/- 400 ),1323,(+/- 1170 ),671,(+/- 429 ),12248,(+/- 1970 ),7847,(+/- 1515 ),4160,(+/- 906 ),1289,(+/- 706 ),7228,(+/- 1376 ),187,(+/- 188 ),2593,(+/- 802 )
Workers,Industry,Construction,21174,(+/- 2404 ),12769,(+/- 1953 ),22545,(+/- 3205 ),24112,(+/- 2879 ),13659,(+/- 2538 ),20808,(+/- 2831 ),29670,(+/- 3293 ),17666,(+/- 2460 ),27065,(+/- 3175 ),23482,(+/- 3104 ),32385,(+/- 3425 ),22483,(+/- 3115 ),22728,(+/- 2904 ),29129,(+/- 2843 )
Workers,Industry,Manufacturing,29392,(+/- 3545 ),30885,(+/- 3482 ),47247,(+/- 3516 ),27194,(+/- 3449 ),20414,(+/- 2405 ),25382,(+/- 2924 ),37139,(+/- 3281 ),31129,(+/- 3340 ),56588,(+/- 4339 ),37005,(+/- 3637 ),35559,(+/- 3480 ),31009,(+/- 3609 ),22119,(+/- 3317 ),69306,(+/- 3855 )
Workers,Industry,Wholesale trade,7415,(+/- 1568 ),4840,(+/- 984 ),10292,(+/- 2263 ),10354,(+/- 2224 ),10746,(+/- 2147 ),14148,(+/- 2241 ),15473,(+/- 2547 ),6891,(+/- 1586 ),11325,(+/- 2089 ),8249,(+/- 1882 ),13610,(+/- 2054 ),6031,(+/- 1480 ),12340,(+/- 2492 ),8386,(+/- 1580 )
Workers,Industry,Retail trade,42019,(+/- 3878 ),32013,(+/- 2654 ),39238,(+/- 3864 ),40977,(+/- 3854 ),37016,(+/- 3361 ),37348,(+/- 3228 ),50125,(+/- 4326 ),36101,(+/- 3268 ),42347,(+/- 3295 ),42667,(+/- 3818 ),45309,(+/- 4792 ),38223,(+/- 4105 ),43551,(+/- 4335 ),37479,(+/- 3399 )
Workers,Industry,"Transportation and warehousing, and utilities",23030,(+/- 3355 ),13766,(+/- 1976 ),26736,(+/- 2626 ),26072,(+/- 2956 ),27955,(+/- 3783 ),15192,(+/- 2364 ),16889,(+/- 2515 ),14176,(+/- 1954 ),15313,(+/- 2138 ),20087,(+/- 2816 ),18220,(+/- 2633 ),19156,(+/- 2622 ),41842,(+/- 4404 ),15815,(+/- 2086 )
Workers,Industry,Information,5146,(+/- 1385 ),2878,(+/- 763 ),5578,(+/- 1468 ),10130,(+/- 1958 ),13466,(+/- 2189 ),17885,(+/- 2470 ),13215,(+/- 2139 ),3309,(+/- 1166 ),4120,(+/- 1043 ),5318,(+/- 1567 ),9044,(+/- 1980 ),4229,(+/- 1395 ),10754,(+/- 2487 ),4422,(+/- 1154 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",15923,(+/- 2426 ),14464,(+/- 1872 ),20923,(+/- 2509 ),20576,(+/- 2652 ),25847,(+/- 3301 ),40632,(+/- 3148 ),32803,(+/- 4041 ),13602,(+/- 2151 ),12970,(+/- 1795 ),17672,(+/- 2571 ),33599,(+/- 3839 ),9151,(+/- 1703 ),21766,(+/- 3189 ),15056,(+/- 2516 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",27161,(+/- 2869 ),17477,(+/- 2342 ),28908,(+/- 2865 ),47327,(+/- 3242 ),60865,(+/- 3873 ),93838,(+/- 5126 ),67764,(+/- 5219 ),24061,(+/- 2874 ),25998,(+/- 2620 ),32484,(+/- 3257 ),60308,(+/- 4669 ),22574,(+/- 2613 ),37099,(+/- 4458 ),26538,(+/- 3271 )
Workers,Industry,"Educational services, and health care and social assistance",66111,(+/- 4001 ),59605,(+/- 3557 ),67173,(+/- 4193 ),77940,(+/- 5028 ),77906,(+/- 5012 ),70584,(+/- 4993 ),63877,(+/- 4900 ),69143,(+/- 4405 ),61214,(+/- 3894 ),77493,(+/- 4210 ),67486,(+/- 4716 ),70110,(+/- 4495 ),70436,(+/- 5857 ),56456,(+/- 3757 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",37375,(+/- 3260 ),25422,(+/- 2987 ),30799,(+/- 3272 ),32048,(+/- 3881 ),46195,(+/- 4156 ),39029,(+/- 3267 ),36991,(+/- 4042 ),26643,(+/- 2939 ),28905,(+/- 3287 ),30225,(+/- 3476 ),41657,(+/- 4741 ),28629,(+/- 3153 ),32799,(+/- 5718 ),26517,(+/- 3413 )
Workers,Industry,"Other services, except public administration",13959,(+/- 2150 ),14251,(+/- 1956 ),16162,(+/- 2216 ),19111,(+/- 2796 ),18419,(+/- 2553 ),18829,(+/- 3069 ),23080,(+/- 3596 ),13986,(+/- 1872 ),15375,(+/- 2214 ),15302,(+/- 2199 ),18493,(+/- 2858 ),11839,(+/- 2005 ),18837,(+/- 3440 ),15681,(+/- 2114 )
Workers,Industry,Public administration,23643,(+/- 3013 ),16687,(+/- 2396 ),17017,(+/- 2467 ),17573,(+/- 2219 ),16980,(+/- 2347 ),11414,(+/- 1844 ),10066,(+/- 1719 ),27974,(+/- 3163 ),11514,(+/- 1992 ),17271,(+/- 2564 ),11637,(+/- 2235 ),19299,(+/- 2590 ),21582,(+/- 2633 ),11807,(+/- 2258 )
Workers,Class of Worker,Civilian employed population 16 years and over,316254,(+/- 6266 ),254588,(+/- 6970 ),333783,(+/- 7937 ),354546,(+/- 8983 ),369894,(+/- 8338 ),406412,(+/- 8418 ),397763,(+/- 9677 ),296929,(+/- 7008 ),320581,(+/- 8292 ),331415,(+/- 9323 ),388596,(+/- 8465 ),289961,(+/- 8587 ),356040,(+/- 11417 ),319185,(+/- 6177 )
Workers,Class of Worker,Private wage and salary workers,240121,(+/- 6286 ),190010,(+/- 6736 ),269666,(+/- 7193 ),288747,(+/- 9274 ),299610,(+/- 7457 ),348249,(+/- 8028 ),334618,(+/- 9306 ),224600,(+/- 7222 ),261964,(+/- 7809 ),251811,(+/- 9179 ),325026,(+/- 7640 ),214069,(+/- 8725 ),281851,(+/- 10703 ),265163,(+/- 6428 )
Workers,Class of Worker,Government workers,56829,(+/- 4238 ),50633,(+/- 3866 ),49222,(+/- 3847 ),48591,(+/- 4488 ),49776,(+/- 4426 ),32370,(+/- 3525 ),37843,(+/- 3436 ),58059,(+/- 4525 ),39313,(+/- 3586 ),63093,(+/- 4607 ),37017,(+/- 3291 ),61920,(+/- 4042 ),56297,(+/- 5267 ),37267,(+/- 4444 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,18446,(+/- 2242 ),13341,(+/- 2153 ),14171,(+/- 2096 ),16909,(+/- 2250 ),20038,(+/- 2558 ),25322,(+/- 3394 ),24791,(+/- 3135 ),13827,(+/- 1835 ),18569,(+/- 2690 ),16097,(+/- 1814 ),26147,(+/- 3160 ),13674,(+/- 1941 ),17710,(+/- 2870 ),16582,(+/- 2337 )
Workers,Class of Worker,Unpaid family workers,858,(+/- 533 ),604,(+/- 317 ),724,(+/- 497 ),299,(+/- 267 ),470,(+/- 317 ),471,(+/- 380 ),511,(+/- 337 ),443,(+/- 328 ),735,(+/- 432 ),414,(+/- 280 ),406,(+/- 322 ),298,(+/- 307 ),182,(+/- 182 ),173,(+/- 190 )
Housing,Housing Occupancy,Total housing units,318444,(+/- 1790 ),298060,(+/- 2863 ),292240,(+/- 3555 ),287051,(+/- 4370 ),357749,(+/- 5752 ),302724,(+/- 5413 ),269682,(+/- 3940 ),301953,(+/- 2615 ),325226,(+/- 2719 ),295382,(+/- 4039 ),302116,(+/- 3887 ),300542,(+/- 2218 ),286598,(+/- 5972 ),281336,(+/- 1500 )
Housing,Housing Occupancy,Occupied housing units,267317,(+/- 3925 ),244541,(+/- 4823 ),263782,(+/- 4745 ),264468,(+/- 4790 ),298413,(+/- 6152 ),283001,(+/- 4969 ),256978,(+/- 4273 ),256041,(+/- 3908 ),254999,(+/- 4574 ),253432,(+/- 4715 ),280307,(+/- 4102 ),252350,(+/- 3817 ),257261,(+/- 5765 ),253245,(+/- 3277 )
Housing,Housing Occupancy,Vacant housing units,51127,(+/- 3532 ),53519,(+/- 4353 ),28458,(+/- 3645 ),22583,(+/- 2940 ),59336,(+/- 3818 ),19723,(+/- 2941 ),12704,(+/- 2595 ),45912,(+/- 3879 ),70227,(+/- 4398 ),41950,(+/- 3530 ),21809,(+/- 3113 ),48192,(+/- 3581 ),29337,(+/- 3387 ),28091,(+/- 2703 )
Housing,Housing Occupancy,Homeowner vacancy rate,2.0,(+/- 0.7 ),2.2,(+/- 0.7 ),1.4,(+/- 0.5 ),2.0,(+/- 0.7 ),1.8,(+/- 0.6 ),1.8,(+/- 0.6 ),1.3,(+/- 0.8 ),1.6,(+/- 0.6 ),2.3,(+/- 0.7 ),2.9,(+/- 0.6 ),1.3,(+/- 0.6 ),2.2,(+/- 0.8 ),1.8,(+/- 0.9 ),1.5,(+/- 0.6 )
Housing,Housing Occupancy,Rental vacancy rate,7.2,(+/- 1.5 ),5.4,(+/- 1.0 ),4.2,(+/- 1.5 ),3.8,(+/- 1.2 ),7.1,(+/- 1.0 ),6.0,(+/- 1.4 ),5.7,(+/- 1.9 ),6.4,(+/- 1.6 ),9.1,(+/- 2.0 ),5.0,(+/- 1.3 ),5.2,(+/- 1.4 ),8.0,(+/- 1.7 ),6.8,(+/- 1.5 ),6.2,(+/- 1.7 )
Housing,Housing Tenure,Occupied housing units,267317,(+/- 3925 ),244541,(+/- 4823 ),263782,(+/- 4745 ),264468,(+/- 4790 ),298413,(+/- 6152 ),283001,(+/- 4969 ),256978,(+/- 4273 ),256041,(+/- 3908 ),254999,(+/- 4574 ),253432,(+/- 4715 ),280307,(+/- 4102 ),252350,(+/- 3817 ),257261,(+/- 5765 ),253245,(+/- 3277 )
