Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE
Workers,Commuting to Work,Other means,4347,(+/- 1153 ),6734,(+/- 1372 ),4619,(+/- 1232 ),4548,(+/- 1068 ),3044,(+/- 776 ),3298,(+/- 928 ),5647,(+/- 1577 ),4739,(+/- 985 ),3354,(+/- 957 )
Workers,Commuting to Work,Worked at home,8878,(+/- 1414 ),11652,(+/- 1786 ),15828,(+/- 1956 ),11854,(+/- 1804 ),25674,(+/- 3131 ),12276,(+/- 1825 ),9283,(+/- 1399 ),7753,(+/- 1229 ),14859,(+/- 2172 )
Workers,Commuting to Work,Mean travel time to work (minutes),28.4,(+/- 0.8 ),21.5,(+/- 0.5 ),21.3,(+/- 0.5 ),22.9,(+/- 0.6 ),24.5,(+/- 0.6 ),23.5,(+/- 0.5 ),23.6,(+/- 0.6 ),22.7,(+/- 0.6 ),23.9,(+/- 0.5 )
Workers,Occupation,Civilian employed population 16 years and over,325472,(+/- 5906 ),332394,(+/- 5573 ),355122,(+/- 4637 ),360613,(+/- 5317 ),396922,(+/- 6787 ),336245,(+/- 4870 ),352020,(+/- 6995 ),339972,(+/- 5182 ),366256,(+/- 6193 )
Workers,Occupation,"Management, business, science, and arts occupations",97833,(+/- 4969 ),93954,(+/- 5138 ),105576,(+/- 4284 ),121023,(+/- 5362 ),186167,(+/- 7365 ),104573,(+/- 4290 ),105464,(+/- 5598 ),104818,(+/- 4065 ),127342,(+/- 5253 )
Workers,Occupation,Service occupations,61771,(+/- 4043 ),54412,(+/- 3761 ),56066,(+/- 3596 ),58459,(+/- 3729 ),55934,(+/- 4064 ),58185,(+/- 4132 ),66200,(+/- 5316 ),59314,(+/- 3318 ),62757,(+/- 4323 )
Workers,Occupation,Sales and office occupations,76134,(+/- 4397 ),75074,(+/- 3664 ),76481,(+/- 3786 ),76517,(+/- 4038 ),90371,(+/- 4527 ),70813,(+/- 3441 ),95166,(+/- 5165 ),72448,(+/- 3349 ),88542,(+/- 4743 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",32751,(+/- 2630 ),27789,(+/- 2678 ),32252,(+/- 2499 ),36313,(+/- 2708 ),23737,(+/- 2630 ),36405,(+/- 2684 ),25092,(+/- 2529 ),35659,(+/- 2012 ),30470,(+/- 2633 )
Workers,Occupation,"Production, transportation, and material moving occupations",56983,(+/- 3655 ),81165,(+/- 4112 ),84747,(+/- 3724 ),68301,(+/- 4006 ),40713,(+/- 3530 ),66269,(+/- 3006 ),60098,(+/- 3926 ),67733,(+/- 3332 ),57145,(+/- 4594 )
Workers,Industry,Civilian employed population 16 years and over,325472,(+/- 5906 ),332394,(+/- 5573 ),355122,(+/- 4637 ),360613,(+/- 5317 ),396922,(+/- 6787 ),336245,(+/- 4870 ),352020,(+/- 6995 ),339972,(+/- 5182 ),366256,(+/- 6193 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1300,(+/- 489 ),4729,(+/- 1078 ),4651,(+/- 1105 ),7223,(+/- 1218 ),2698,(+/- 765 ),6947,(+/- 1282 ),331,(+/- 230 ),9000,(+/- 1210 ),4250,(+/- 1098 )
Workers,Industry,Construction,23162,(+/- 2068 ),15345,(+/- 1578 ),20567,(+/- 2211 ),21503,(+/- 2263 ),18215,(+/- 2528 ),25759,(+/- 2650 ),20606,(+/- 2683 ),19980,(+/- 1688 ),22360,(+/- 2450 )
Workers,Industry,Manufacturing,55281,(+/- 3895 ),92177,(+/- 4186 ),94991,(+/- 3917 ),69007,(+/- 3868 ),51482,(+/- 3767 ),72957,(+/- 3356 ),36974,(+/- 3781 ),68164,(+/- 3280 ),55476,(+/- 3778 )
Workers,Industry,Wholesale trade,7749,(+/- 1386 ),8483,(+/- 1539 ),8876,(+/- 1116 ),9203,(+/- 1580 ),11561,(+/- 1568 ),8397,(+/- 1327 ),13208,(+/- 2257 ),8311,(+/- 1388 ),8884,(+/- 1705 )
Workers,Industry,Retail trade,34271,(+/- 3293 ),34110,(+/- 3563 ),41096,(+/- 3015 ),39710,(+/- 3933 ),40383,(+/- 3551 ),34023,(+/- 2832 ),45192,(+/- 4021 ),37764,(+/- 3247 ),41149,(+/- 3588 )
Workers,Industry,"Transportation and warehousing, and utilities",21411,(+/- 2716 ),14866,(+/- 1814 ),14365,(+/- 1628 ),19953,(+/- 2095 ),17142,(+/- 2151 ),17284,(+/- 2124 ),29647,(+/- 3565 ),18005,(+/- 2223 ),20110,(+/- 2677 )
Workers,Industry,Information,4408,(+/- 1150 ),3603,(+/- 934 ),7347,(+/- 1270 ),5827,(+/- 1340 ),8511,(+/- 1573 ),3194,(+/- 849 ),4947,(+/- 1157 ),5744,(+/- 1264 ),4972,(+/- 1378 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",15399,(+/- 2001 ),12468,(+/- 1963 ),16020,(+/- 1612 ),16517,(+/- 2235 ),33623,(+/- 2802 ),12422,(+/- 1401 ),22594,(+/- 2925 ),14285,(+/- 1953 ),20967,(+/- 2626 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",25207,(+/- 2832 ),18956,(+/- 2102 ),23579,(+/- 2495 ),26895,(+/- 2876 ),48504,(+/- 3849 ),24255,(+/- 2722 ),38218,(+/- 3008 ),22406,(+/- 2557 ),27208,(+/- 3032 )
Workers,Industry,"Educational services, and health care and social assistance",75800,(+/- 4412 ),76409,(+/- 4337 ),72247,(+/- 3529 ),88034,(+/- 4951 ),97755,(+/- 5458 ),77426,(+/- 4146 ),77217,(+/- 4656 ),78058,(+/- 4030 ),93799,(+/- 4487 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",35133,(+/- 2913 ),26958,(+/- 2614 ),27276,(+/- 2664 ),30450,(+/- 2931 ),36335,(+/- 3248 ),27468,(+/- 2410 ),36255,(+/- 4766 ),28615,(+/- 2573 ),33053,(+/- 3274 )
Workers,Industry,"Other services, except public administration",16243,(+/- 1971 ),15741,(+/- 2008 ),17463,(+/- 2143 ),15503,(+/- 2263 ),18242,(+/- 2237 ),13884,(+/- 1722 ),14340,(+/- 1991 ),15774,(+/- 1712 ),18593,(+/- 2118 )
Workers,Industry,Public administration,10108,(+/- 1748 ),8549,(+/- 1384 ),6644,(+/- 1061 ),10788,(+/- 1697 ),12471,(+/- 2199 ),12229,(+/- 1822 ),12491,(+/- 1899 ),13866,(+/- 1680 ),15435,(+/- 2066 )
Workers,Class of Worker,Civilian employed population 16 years and over,325472,(+/- 5906 ),332394,(+/- 5573 ),355122,(+/- 4637 ),360613,(+/- 5317 ),396922,(+/- 6787 ),336245,(+/- 4870 ),352020,(+/- 6995 ),339972,(+/- 5182 ),366256,(+/- 6193 )
Workers,Class of Worker,Private wage and salary workers,281524,(+/- 5566 ),287883,(+/- 5426 ),311885,(+/- 4705 ),302024,(+/- 5639 ),339367,(+/- 6226 ),281476,(+/- 5214 ),304244,(+/- 6798 ),282929,(+/- 6007 ),295881,(+/- 6051 )
Workers,Class of Worker,Government workers,33610,(+/- 3014 ),29997,(+/- 2646 ),26379,(+/- 2128 ),43281,(+/- 3026 ),37782,(+/- 3714 ),38773,(+/- 2502 ),32841,(+/- 3023 ),40420,(+/- 3042 ),50843,(+/- 3644 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,10191,(+/- 1445 ),13991,(+/- 1900 ),16503,(+/- 2040 ),14711,(+/- 1996 ),19127,(+/- 2386 ),15272,(+/- 1922 ),14604,(+/- 2114 ),16067,(+/- 1784 ),19001,(+/- 2293 )
Workers,Class of Worker,Unpaid family workers,147,(+/- 143 ),523,(+/- 337 ),355,(+/- 274 ),597,(+/- 398 ),646,(+/- 396 ),724,(+/- 388 ),331,(+/- 244 ),556,(+/- 389 ),531,(+/- 301 )
Housing,Housing Occupancy,Total housing units,305809,(+/- 1616 ),307094,(+/- 1932 ),317884,(+/- 1316 ),312532,(+/- 2420 ),328974,(+/- 3421 ),314052,(+/- 1385 ),332521,(+/- 3437 ),317897,(+/- 1724 ),317832,(+/- 2057 )
Housing,Housing Occupancy,Occupied housing units,270418,(+/- 3383 ),265086,(+/- 3304 ),282012,(+/- 2899 ),286048,(+/- 3249 ),304370,(+/- 4501 ),280264,(+/- 3521 ),285276,(+/- 4534 ),281301,(+/- 3463 ),278495,(+/- 3292 )
Housing,Housing Occupancy,Vacant housing units,35391,(+/- 3016 ),42008,(+/- 3169 ),35872,(+/- 2930 ),26484,(+/- 2475 ),24604,(+/- 2821 ),33788,(+/- 3418 ),47245,(+/- 3331 ),36596,(+/- 3405 ),39337,(+/- 3370 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.5,(+/- 0.5 ),2.5,(+/- 0.7 ),1.5,(+/- 0.5 ),1.1,(+/- 0.4 ),1.5,(+/- 0.6 ),2.1,(+/- 0.6 ),2.8,(+/- 0.9 ),2.1,(+/- 0.6 ),2.2,(+/- 0.7 )
Housing,Housing Occupancy,Rental vacancy rate,6.1,(+/- 1.6 ),9.0,(+/- 1.4 ),6.7,(+/- 1.3 ),4.5,(+/- 1.2 ),6.3,(+/- 1.4 ),7.4,(+/- 1.7 ),8.5,(+/- 1.4 ),6.8,(+/- 1.7 ),6.4,(+/- 1.4 )
Housing,Housing Tenure,Occupied housing units,270418,(+/- 3383 ),265086,(+/- 3304 ),282012,(+/- 2899 ),286048,(+/- 3249 ),304370,(+/- 4501 ),280264,(+/- 3521 ),285276,(+/- 4534 ),281301,(+/- 3463 ),278495,(+/- 3292 )
Housing,Housing Tenure,Owner-occupied,191252,(+/- 4088 ),184169,(+/- 4514 ),201655,(+/- 4381 ),198714,(+/- 4358 ),211950,(+/- 4213 ),198466,(+/- 4098 ),146607,(+/- 4333 ),203247,(+/- 4027 ),195361,(+/- 4262 )
Housing,Housing Tenure,Renter-occupied,79166,(+/- 3606 ),80917,(+/- 3846 ),80357,(+/- 3330 ),87334,(+/- 4237 ),92420,(+/- 4557 ),81798,(+/- 3893 ),138669,(+/- 4701 ),78054,(+/- 3469 ),83134,(+/- 3866 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.61,(+/- 0.04 ),2.72,(+/- 0.05 ),2.69,(+/- 0.04 ),2.61,(+/- 0.04 ),2.62,(+/- 0.05 ),2.53,(+/- 0.04 ),2.67,(+/- 0.06 ),2.52,(+/- 0.04 ),2.68,(+/- 0.04 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.46,(+/- 0.09 ),2.48,(+/- 0.09 ),2.29,(+/- 0.07 ),2.25,(+/- 0.07 ),2.14,(+/- 0.07 ),2.41,(+/- 0.08 ),2.49,(+/- 0.07 ),2.28,(+/- 0.07 ),2.44,(+/- 0.08 )
Housing,Year Householder Moved into Unit,Occupied housing units,270418,(+/- 3383 ),265086,(+/- 3304 ),282012,(+/- 2899 ),286048,(+/- 3249 ),304370,(+/- 4501 ),280264,(+/- 3521 ),285276,(+/- 4534 ),281301,(+/- 3463 ),278495,(+/- 3292 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,44523,(+/- 2876 ),45941,(+/- 3113 ),54039,(+/- 3008 ),60358,(+/- 4036 ),64330,(+/- 4340 ),46513,(+/- 3036 ),70101,(+/- 4413 ),48826,(+/- 3280 ),52061,(+/- 3068 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,65385,(+/- 4214 ),67774,(+/- 2998 ),77566,(+/- 3182 ),75748,(+/- 4288 ),89981,(+/- 4163 ),74742,(+/- 3504 ),89615,(+/- 4640 ),73836,(+/- 3553 ),76112,(+/- 3535 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,74405,(+/- 3479 ),63190,(+/- 3347 ),68098,(+/- 3005 ),73423,(+/- 3871 ),77856,(+/- 3461 ),67129,(+/- 2911 ),62401,(+/- 3034 ),72345,(+/- 3168 ),71812,(+/- 3346 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,38385,(+/- 2598 ),43984,(+/- 2371 ),41783,(+/- 2802 ),37765,(+/- 2840 ),40238,(+/- 2885 ),40283,(+/- 2079 ),33133,(+/- 2387 ),41717,(+/- 2598 ),38288,(+/- 2707 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,19533,(+/- 1894 ),20147,(+/- 1999 ),18895,(+/- 1843 ),17434,(+/- 1649 ),14059,(+/- 1459 ),22053,(+/- 2235 ),14018,(+/- 1443 ),19463,(+/- 1802 ),18081,(+/- 1623 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,28187,(+/- 2084 ),24050,(+/- 1961 ),21631,(+/- 1658 ),21320,(+/- 1613 ),17906,(+/- 1670 ),29544,(+/- 1830 ),16008,(+/- 1514 ),25114,(+/- 1679 ),22141,(+/- 1897 )
Housing,Value,Owner-occupied units,191252,(+/- 4088 ),184169,(+/- 4514 ),201655,(+/- 4381 ),198714,(+/- 4358 ),211950,(+/- 4213 ),198466,(+/- 4098 ),146607,(+/- 4333 ),203247,(+/- 4027 ),195361,(+/- 4262 )
Housing,Value,"Less than $50,000",14875,(+/- 1660 ),15499,(+/- 1677 ),21930,(+/- 1701 ),14040,(+/- 1568 ),13302,(+/- 1595 ),22912,(+/- 2218 ),14186,(+/- 1762 ),25832,(+/- 2086 ),13613,(+/- 1649 )
Housing,Value,"$50,000 to $99,999",36695,(+/- 2615 ),54113,(+/- 3154 ),53797,(+/- 2950 ),43906,(+/- 2392 ),29634,(+/- 2274 ),54025,(+/- 2989 ),45337,(+/- 2928 ),59813,(+/- 3071 ),38548,(+/- 2681 )
Housing,Value,"$100,000 to $149,999",38427,(+/- 2480 ),45992,(+/- 2903 ),50725,(+/- 2849 ),50858,(+/- 3021 ),35813,(+/- 2945 ),45766,(+/- 2925 ),48204,(+/- 3247 ),42995,(+/- 2954 ),49826,(+/- 2804 )
Housing,Value,"$150,000 to $199,999",41806,(+/- 2420 ),30773,(+/- 2191 ),29787,(+/- 2344 ),38413,(+/- 2865 ),39376,(+/- 2639 ),31952,(+/- 2343 ),19864,(+/- 1819 ),31036,(+/- 2087 ),38191,(+/- 2769 )
Housing,Value,"$200,000 to $299,999",37086,(+/- 2784 ),23594,(+/- 2151 ),25682,(+/- 1941 ),31241,(+/- 2862 ),42958,(+/- 2931 ),28165,(+/- 2597 ),11253,(+/- 1422 ),27117,(+/- 2304 ),32796,(+/- 3149 )
Housing,Value,"$300,000 to $499,999",16226,(+/- 1876 ),11272,(+/- 1205 ),14096,(+/- 1540 ),15783,(+/- 1829 ),34017,(+/- 3001 ),11282,(+/- 1576 ),5495,(+/- 1086 ),13252,(+/- 1784 ),16864,(+/- 2131 )
Housing,Value,"$500,000 to $999,999",5468,(+/- 1015 ),2524,(+/- 674 ),4922,(+/- 974 ),3789,(+/- 781 ),14098,(+/- 1815 ),3534,(+/- 1006 ),1730,(+/- 612 ),2611,(+/- 697 ),4807,(+/- 1154 )
Housing,Value,"$1,000,000 or more",669,(+/- 267 ),402,(+/- 226 ),716,(+/- 474 ),684,(+/- 328 ),2752,(+/- 836 ),830,(+/- 363 ),538,(+/- 372 ),591,(+/- 316 ),716,(+/- 504 )
Housing,Value,Median (dollars),155500,(+/- 2693 ),122200,(+/- 2894 ),121000,(+/- 2209 ),140700,(+/- 2700 ),178400,(+/- 5409 ),121800,(+/- 3044 ),112700,(+/- 2187 ),116800,(+/- 2762 ),145500,(+/- 3386 )
Housing,Mortgage Status,Owner-occupied units,191252,(+/- 4088 ),184169,(+/- 4514 ),201655,(+/- 4381 ),198714,(+/- 4358 ),211950,(+/- 4213 ),198466,(+/- 4098 ),146607,(+/- 4333 ),203247,(+/- 4027 ),195361,(+/- 4262 )
Housing,Mortgage Status,Housing units with a mortgage,125395,(+/- 3687 ),114486,(+/- 4419 ),128074,(+/- 4343 ),134519,(+/- 3910 ),152817,(+/- 3937 ),126106,(+/- 3976 ),105576,(+/- 4111 ),120806,(+/- 3826 ),127015,(+/- 3816 )
Housing,Mortgage Status,Housing units without a mortgage,65857,(+/- 2976 ),69683,(+/- 3329 ),73581,(+/- 3009 ),64195,(+/- 3114 ),59133,(+/- 3098 ),72360,(+/- 3400 ),41031,(+/- 2471 ),82441,(+/- 3582 ),68346,(+/- 3122 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,125395,(+/- 3687 ),114486,(+/- 4419 ),128074,(+/- 4343 ),134519,(+/- 3910 ),152817,(+/- 3937 ),126106,(+/- 3976 ),105576,(+/- 4111 ),120806,(+/- 3826 ),127015,(+/- 3816 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,2419,(+/- 695 ),4969,(+/- 953 ),4845,(+/- 973 ),4943,(+/- 944 ),3785,(+/- 973 ),5608,(+/- 1019 ),2194,(+/- 692 ),7041,(+/- 1230 ),3922,(+/- 785 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,40375,(+/- 2788 ),56886,(+/- 3221 ),64916,(+/- 3300 ),54147,(+/- 3012 ),35821,(+/- 2805 ),56135,(+/- 2989 ),46329,(+/- 3171 ),57176,(+/- 3158 ),49656,(+/- 3165 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",48428,(+/- 2620 ),34665,(+/- 2603 ),37806,(+/- 2533 ),47745,(+/- 2688 ),51849,(+/- 3273 ),40794,(+/- 2843 ),42462,(+/- 2660 ),35681,(+/- 2661 ),43760,(+/- 3087 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",21009,(+/- 1965 ),11716,(+/- 1633 ),12580,(+/- 1372 ),18105,(+/- 2032 ),28927,(+/- 2417 ),14829,(+/- 1685 ),10004,(+/- 1697 ),13413,(+/- 1519 ),18373,(+/- 2039 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",7841,(+/- 1216 ),2952,(+/- 726 ),4717,(+/- 978 ),5817,(+/- 1304 ),15495,(+/- 2141 ),4795,(+/- 1066 ),2373,(+/- 667 ),4290,(+/- 830 ),6417,(+/- 1280 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",2709,(+/- 691 ),1822,(+/- 653 ),1906,(+/- 539 ),1472,(+/- 575 ),6426,(+/- 1182 ),2511,(+/- 807 ),942,(+/- 478 ),1855,(+/- 704 ),2223,(+/- 611 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",2614,(+/- 684 ),1476,(+/- 483 ),1304,(+/- 518 ),2290,(+/- 554 ),10514,(+/- 1713 ),1434,(+/- 551 ),1272,(+/- 617 ),1350,(+/- 449 ),2664,(+/- 756 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1182,(+/- 18 ),962,(+/- 18 ),960,(+/- 16 ),1069,(+/- 20 ),1328,(+/- 32 ),1014,(+/- 25 ),1035,(+/- 18 ),972,(+/- 17 ),1091,(+/- 24 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,65857,(+/- 2976 ),69683,(+/- 3329 ),73581,(+/- 3009 ),64195,(+/- 3114 ),59133,(+/- 3098 ),72360,(+/- 3400 ),41031,(+/- 2471 ),82441,(+/- 3582 ),68346,(+/- 3122 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,8231,(+/- 1199 ),18477,(+/- 2084 ),18059,(+/- 2011 ),11337,(+/- 1503 ),7808,(+/- 1282 ),15127,(+/- 1722 ),6137,(+/- 954 ),14829,(+/- 1532 ),10089,(+/- 1275 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,21722,(+/- 1937 ),28831,(+/- 1964 ),29350,(+/- 2059 ),25698,(+/- 1986 ),18298,(+/- 1952 ),25578,(+/- 2060 ),16497,(+/- 1658 ),32848,(+/- 2436 ),26004,(+/- 1994 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,25773,(+/- 2131 ),16584,(+/- 1839 ),19062,(+/- 1798 ),19086,(+/- 2119 ),18627,(+/- 1774 ),22341,(+/- 2096 ),13377,(+/- 1607 ),25411,(+/- 2292 ),22336,(+/- 1881 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,6509,(+/- 976 ),3986,(+/- 927 ),5280,(+/- 910 ),5458,(+/- 1058 ),8745,(+/- 1253 ),6551,(+/- 1076 ),3573,(+/- 870 ),6036,(+/- 1020 ),7130,(+/- 1257 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,2021,(+/- 568 ),800,(+/- 334 ),946,(+/- 406 ),1425,(+/- 568 ),2534,(+/- 902 ),1332,(+/- 535 ),948,(+/- 490 ),2336,(+/- 627 ),1727,(+/- 598 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",1601,(+/- 566 ),1005,(+/- 368 ),884,(+/- 392 ),1191,(+/- 506 ),3121,(+/- 911 ),1431,(+/- 515 ),499,(+/- 289 ),981,(+/- 472 ),1060,(+/- 681 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),419,(+/- 11 ),335,(+/- 11 ),346,(+/- 9 ),369,(+/- 12 ),430,(+/- 13 ),371,(+/- 11 ),383,(+/- 10 ),371,(+/- 8 ),390,(+/- 8 )
Housing,Gross Rent,Occupied units paying rent,74449,(+/- 3498 ),75226,(+/- 3894 ),75857,(+/- 3075 ),81471,(+/- 3973 ),88619,(+/- 4432 ),77282,(+/- 3934 ),135941,(+/- 4571 ),72690,(+/- 3333 ),77520,(+/- 3868 )
Housing,Gross Rent,Less than $500,9711,(+/- 1389 ),14477,(+/- 1944 ),14096,(+/- 1828 ),10760,(+/- 1462 ),6133,(+/- 1404 ),13915,(+/- 1849 ),10927,(+/- 1888 ),16070,(+/- 1778 ),11467,(+/- 1714 )
Housing,Gross Rent,$500 to $999,43111,(+/- 3018 ),51805,(+/- 3618 ),53078,(+/- 2992 ),51064,(+/- 3458 ),48587,(+/- 2904 ),51736,(+/- 3521 ),92545,(+/- 4067 ),46523,(+/- 2955 ),47160,(+/- 3139 )
Housing,Gross Rent,"$1,000 to $1,499",18968,(+/- 2227 ),7329,(+/- 1483 ),6768,(+/- 1388 ),15367,(+/- 2372 ),25711,(+/- 2541 ),10497,(+/- 1727 ),27332,(+/- 3149 ),8818,(+/- 1566 ),15162,(+/- 1845 )
Housing,Gross Rent,"$1,500 to $1,999",1440,(+/- 488 ),936,(+/- 408 ),1041,(+/- 615 ),3549,(+/- 1466 ),5966,(+/- 1452 ),875,(+/- 497 ),4426,(+/- 1237 ),599,(+/- 303 ),2861,(+/- 1009 )
Housing,Gross Rent,"$2,000 to $2,499",1008,(+/- 680 ),326,(+/- 279 ),708,(+/- 467 ),371,(+/- 283 ),968,(+/- 523 ),0,(+/- 192 ),589,(+/- 324 ),145,(+/- 168 ),589,(+/- 381 )
Housing,Gross Rent,"$2,500 to $2,999",0,(+/- 192 ),0,(+/- 192 ),107,(+/- 144 ),54,(+/- 91 ),485,(+/- 341 ),0,(+/- 192 ),33,(+/- 54 ),36,(+/- 38 ),281,(+/- 335 )
Housing,Gross Rent,"$3,000 or more",211,(+/- 166 ),353,(+/- 408 ),59,(+/- 77 ),306,(+/- 207 ),769,(+/- 554 ),259,(+/- 333 ),89,(+/- 141 ),499,(+/- 289 ),0,(+/- 192 )
Housing,Gross Rent,Median (dollars),837,(+/- 20 ),706,(+/- 19 ),697,(+/- 15 ),752,(+/- 19 ),904,(+/- 21 ),717,(+/- 19 ),801,(+/- 16 ),675,(+/- 22 ),803,(+/- 17 )
Housing,Gross Rent,No rent paid,4717,(+/- 1103 ),5691,(+/- 1154 ),4500,(+/- 976 ),5863,(+/- 1281 ),3801,(+/- 1219 ),4516,(+/- 993 ),2728,(+/- 747 ),5364,(+/- 955 ),5614,(+/- 1182 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,270418,(+/- 3383 ),265086,(+/- 3304 ),282012,(+/- 2899 ),286048,(+/- 3249 ),304370,(+/- 4501 ),280264,(+/- 3521 ),285276,(+/- 4534 ),281301,(+/- 3463 ),278495,(+/- 3292 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",20825,(+/- 2286 ),18004,(+/- 2086 ),15709,(+/- 1666 ),17959,(+/- 2327 ),15122,(+/- 2169 ),18266,(+/- 1778 ),29262,(+/- 3046 ),17474,(+/- 1956 ),16698,(+/- 2033 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",12626,(+/- 1589 ),13774,(+/- 1902 ),12735,(+/- 1429 ),11326,(+/- 1570 ),10102,(+/- 1811 ),14201,(+/- 1681 ),17442,(+/- 2021 ),15433,(+/- 1751 ),13171,(+/- 1811 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",25412,(+/- 2229 ),28816,(+/- 2165 ),31793,(+/- 2397 ),29457,(+/- 2545 ),26772,(+/- 2454 ),31370,(+/- 2274 ),36645,(+/- 3028 ),31129,(+/- 2519 ),27424,(+/- 2415 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",23715,(+/- 2473 ),28528,(+/- 2420 ),31744,(+/- 2519 ),31265,(+/- 2325 ),27227,(+/- 2797 ),30564,(+/- 2273 ),35019,(+/- 3021 ),32116,(+/- 2414 ),28032,(+/- 2283 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",37742,(+/- 2977 ),39900,(+/- 3070 ),44465,(+/- 3304 ),41102,(+/- 3235 ),36625,(+/- 3029 ),42278,(+/- 2717 ),46507,(+/- 2792 ),43601,(+/- 2756 ),41819,(+/- 2706 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",51609,(+/- 3283 ),55946,(+/- 3075 ),61977,(+/- 3309 ),54881,(+/- 3442 ),51201,(+/- 3529 ),58614,(+/- 3361 ),51875,(+/- 3404 ),57853,(+/- 3345 ),56544,(+/- 3306 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",36661,(+/- 3117 ),37359,(+/- 2471 ),33506,(+/- 2006 ),39479,(+/- 2898 ),40849,(+/- 3397 ),35028,(+/- 2581 ),29474,(+/- 2304 ),34554,(+/- 2428 ),36329,(+/- 2926 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",40289,(+/- 2714 ),29175,(+/- 2391 ),32194,(+/- 2211 ),38946,(+/- 2842 ),46708,(+/- 3167 ),33448,(+/- 2406 ),25500,(+/- 2479 ),32778,(+/- 2381 ),35890,(+/- 2547 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",12165,(+/- 1754 ),6406,(+/- 1131 ),10120,(+/- 1285 ),12728,(+/- 1575 ),24527,(+/- 2407 ),9094,(+/- 1423 ),7606,(+/- 1337 ),10347,(+/- 1348 ),12513,(+/- 1567 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",9374,(+/- 1454 ),7178,(+/- 1128 ),7769,(+/- 1195 ),8905,(+/- 1337 ),25237,(+/- 2642 ),7401,(+/- 1299 ),5946,(+/- 1246 ),6016,(+/- 1053 ),10075,(+/- 1250 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),56370,(+/- 1637 ),51292,(+/- 1344 ),51453,(+/- 1008 ),53996,(+/- 1652 ),67461,(+/- 2056 ),51033,(+/- 1092 ),41429,(+/- 964 ),50261,(+/- 1304 ),55078,(+/- 1801 )
