Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",27716,(+/- 2336 ),30688,(+/- 2627 ),23219,(+/- 2610 ),7930,(+/- 1240 ),25217,(+/- 2374 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",35880,(+/- 2493 ),38457,(+/- 2829 ),33578,(+/- 2372 ),15758,(+/- 1850 ),33427,(+/- 2827 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",24213,(+/- 1944 ),23327,(+/- 2070 ),25730,(+/- 2493 ),18922,(+/- 1913 ),24236,(+/- 2135 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",12476,(+/- 1987 ),13077,(+/- 1579 ),13292,(+/- 1590 ),16861,(+/- 1633 ),14808,(+/- 1709 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",11013,(+/- 1300 ),10835,(+/- 1378 ),15376,(+/- 1734 ),56196,(+/- 2724 ),17417,(+/- 1714 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1820,(+/- 39 ),1795,(+/- 33 ),1953,(+/- 37 ),2923,(+/- 57 ),1929,(+/- 37 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,57027,(+/- 2717 ),64990,(+/- 2964 ),52376,(+/- 2975 ),48488,(+/- 2604 ),59016,(+/- 3701 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,363,(+/- 240 ),837,(+/- 388 ),929,(+/- 386 ),167,(+/- 130 ),337,(+/- 188 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,1624,(+/- 484 ),3274,(+/- 775 ),1269,(+/- 488 ),781,(+/- 359 ),1892,(+/- 575 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,9641,(+/- 1333 ),15600,(+/- 1775 ),5878,(+/- 1256 ),3249,(+/- 947 ),8332,(+/- 1267 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,18532,(+/- 1733 ),21193,(+/- 1762 ),14726,(+/- 1827 ),7354,(+/- 1204 ),18724,(+/- 1838 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,13657,(+/- 1507 ),12985,(+/- 1475 ),12670,(+/- 1408 ),8747,(+/- 1107 ),13469,(+/- 1798 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",13210,(+/- 1295 ),11101,(+/- 1333 ),16904,(+/- 1561 ),28190,(+/- 2277 ),16262,(+/- 1569 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),782,(+/- 14 ),714,(+/- 17 ),848,(+/- 20 ),1097,(+/- 40 ),803,(+/- 20 )
Housing,Gross Rent,Occupied units paying rent,98743,(+/- 3844 ),74720,(+/- 4145 ),102170,(+/- 4691 ),88359,(+/- 4595 ),93463,(+/- 4065 )
Housing,Gross Rent,Less than $500,13205,(+/- 1805 ),8071,(+/- 1599 ),9389,(+/- 1645 ),7054,(+/- 1468 ),9178,(+/- 1365 )
Housing,Gross Rent,$500 to $999,31427,(+/- 2601 ),27837,(+/- 2499 ),26671,(+/- 2502 ),14297,(+/- 1757 ),32884,(+/- 2897 )
Housing,Gross Rent,"$1,000 to $1,499",41966,(+/- 3320 ),26931,(+/- 2903 ),44223,(+/- 3855 ),26521,(+/- 2454 ),36676,(+/- 3402 )
Housing,Gross Rent,"$1,500 to $1,999",9716,(+/- 1598 ),9063,(+/- 1635 ),18208,(+/- 2255 ),20471,(+/- 2314 ),10184,(+/- 1702 )
Housing,Gross Rent,"$2,000 to $2,499",1623,(+/- 490 ),1333,(+/- 523 ),2671,(+/- 803 ),9743,(+/- 1665 ),2971,(+/- 1060 )
Housing,Gross Rent,"$2,500 to $2,999",282,(+/- 250 ),728,(+/- 593 ),696,(+/- 463 ),4858,(+/- 1078 ),720,(+/- 506 )
Housing,Gross Rent,"$3,000 or more",524,(+/- 288 ),757,(+/- 411 ),312,(+/- 244 ),5415,(+/- 1213 ),850,(+/- 434 )
Housing,Gross Rent,Median (dollars),1046,(+/- 25 ),1020,(+/- 32 ),1154,(+/- 24 ),1430,(+/- 43 ),1047,(+/- 25 )
Housing,Gross Rent,No rent paid,4126,(+/- 1023 ),4296,(+/- 1015 ),3894,(+/- 969 ),3667,(+/- 1033 ),4758,(+/- 1107 )
Socioeconomic,Income and Benefits (In 2016 inflationlation-adjusted dollars),Total households,277215,(+/- 3746 ),268254,(+/- 3685 ),274137,(+/- 4692 ),258126,(+/- 3763 ),279537,(+/- 4374 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"Less than $10,000",16022,(+/- 1968 ),11637,(+/- 1922 ),15484,(+/- 1984 ),11669,(+/- 1650 ),15787,(+/- 2113 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$10,000 to $14,999",11987,(+/- 1688 ),9879,(+/- 1924 ),10488,(+/- 1733 ),8188,(+/- 1448 ),9352,(+/- 1547 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$15,000 to $24,999",20238,(+/- 2083 ),19665,(+/- 2135 ),24765,(+/- 2592 ),17110,(+/- 2092 ),20824,(+/- 2115 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$25,000 to $34,999",21221,(+/- 2365 ),19995,(+/- 2082 ),21351,(+/- 2144 ),16481,(+/- 1889 ),24203,(+/- 2292 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$35,000 to $49,999",32957,(+/- 2989 ),26230,(+/- 2537 ),32204,(+/- 3044 ),23668,(+/- 2215 ),34119,(+/- 2977 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$50,000 to $74,999",43680,(+/- 3426 ),47035,(+/- 2789 ),45670,(+/- 3662 ),31419,(+/- 2571 ),45785,(+/- 3171 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$75,000 to $99,999",37631,(+/- 2841 ),39411,(+/- 2912 ),36474,(+/- 3014 ),25431,(+/- 2290 ),34616,(+/- 3009 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$100,000 to $149,999",48420,(+/- 3017 ),47260,(+/- 2663 ),45243,(+/- 3229 ),43348,(+/- 2834 ),48863,(+/- 2854 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$150,000 to $199,000",22759,(+/- 2257 ),23360,(+/- 2348 ),21239,(+/- 1736 ),24223,(+/- 2148 ),19766,(+/- 1951 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),"$200,000 or more",22300,(+/- 1928 ),23782,(+/- 2101 ),21219,(+/- 1978 ),56589,(+/- 2392 ),26222,(+/- 2115 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Median household income (dollars),70215,(+/- 2278 ),74784,(+/- 2466 ),67774,(+/- 2268 ),94862,(+/- 4318 ),68904,(+/- 2536 )
Socioeconomic,Income and Benefits (In 2016 inflation-adjusted dollars),Mean household income (dollars),92139,(+/- 2764 ),95852,(+/- 2506 ),90465,(+/- 2474 ),155359,(+/- 4272 ),95522,(+/- 2950 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,705206,(+/- 7791 ),682520,(+/- 5261 ),710546,(+/- 6864 ),726882,(+/- 5105 ),700000,(+/- 8824 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,677451,(+/- 8440 ),661094,(+/- 5577 ),676113,(+/- 8254 ),670768,(+/- 7996 ),667514,(+/- 8739 )
Socioeconomic,Health Insurance Coverage,With private health insurance,507724,(+/- 10513 ),518561,(+/- 8678 ),500587,(+/- 10501 ),514811,(+/- 10678 ),494492,(+/- 11299 )
Socioeconomic,Health Insurance Coverage,With public coverage,253355,(+/- 8925 ),240901,(+/- 8158 ),254524,(+/- 9380 ),227291,(+/- 7759 ),257673,(+/- 8707 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,27755,(+/- 3383 ),21426,(+/- 2681 ),34433,(+/- 4378 ),56114,(+/- 6107 ),32486,(+/- 4120 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,155710,(+/- 4156 ),135003,(+/- 3082 ),141501,(+/- 4603 ),172088,(+/- 3609 ),147157,(+/- 5876 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,3042,(+/- 1097 ),1966,(+/- 949 ),3272,(+/- 1208 ),7310,(+/- 2161 ),5277,(+/- 1881 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,7.9,(+/- 1.1 ),5.5,(+/- 0.9 ),7.8,(+/- 1.5 ),6.3,(+/- 0.9 ),6.8,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,11.9,(+/- 2.0 ),9.9,(+/- 1.8 ),13.1,(+/- 2.7 ),9.4,(+/- 1.6 ),12.1,(+/- 1.9 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,8.3,(+/- 3.9 ),12.0,(+/- 4.8 ),16.1,(+/- 7.7 ),6.1,(+/- 2.9 ),12.2,(+/- 4.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,2.2,(+/- 0.7 ),2.3,(+/- 0.6 ),3.7,(+/- 1.1 ),3.0,(+/- 0.7 ),2.7,(+/- 0.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,2.1,(+/- 1.1 ),3.5,(+/- 1.4 ),4.9,(+/- 2.1 ),3.9,(+/- 1.1 ),4.1,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,0.0,(+/- 1.7 ),2.7,(+/- 2.9 ),1.3,(+/- 1.6 ),1.5,(+/- 1.2 ),4.6,(+/- 3.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",23.2,(+/- 3.8 ),21.1,(+/- 3.8 ),20.6,(+/- 4.4 ),18.3,(+/- 3.5 ),23.1,(+/- 3.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,31.0,(+/- 6.2 ),30.5,(+/- 6.1 ),28.0,(+/- 6.2 ),26.2,(+/- 5.4 ),31.5,(+/- 5.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,28.1,(+/- 13.8 ),36.0,(+/- 15.3 ),49.4,(+/- 19.9 ),26.9,(+/- 19.8 ),34.3,(+/- 14.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,10.7,(+/- 1.1 ),8.3,(+/- 0.9 ),11.1,(+/- 1.2 ),8.7,(+/- 0.8 ),10.0,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,14.5,(+/- 2.3 ),10.3,(+/- 1.9 ),15.5,(+/- 2.9 ),9.9,(+/- 1.6 ),14.4,(+/- 2.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,14.4,(+/- 2.3 ),10.0,(+/- 1.8 ),15.3,(+/- 2.9 ),9.6,(+/- 1.6 ),14.0,(+/- 2.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,15.3,(+/- 3.5 ),13.8,(+/- 3.2 ),20.5,(+/- 5.4 ),10.6,(+/- 2.8 ),16.4,(+/- 4.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,14.1,(+/- 2.4 ),8.7,(+/- 1.8 ),13.6,(+/- 2.9 ),9.3,(+/- 1.7 ),13.2,(+/- 2.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,9.6,(+/- 0.9 ),7.9,(+/- 0.8 ),10.0,(+/- 1.0 ),8.3,(+/- 0.8 ),8.8,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,8.0,(+/- 1.3 ),4.2,(+/- 0.9 ),6.6,(+/- 1.4 ),6.1,(+/- 1.0 ),7.5,(+/- 1.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,8.3,(+/- 1.2 ),5.7,(+/- 0.9 ),8.4,(+/- 1.5 ),6.4,(+/- 0.9 ),7.5,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,20.2,(+/- 1.8 ),18.9,(+/- 1.9 ),20.9,(+/- 1.6 ),20.6,(+/- 2.2 ),19.8,(+/- 2.1 )
Education,School Enrollment,Population 3 years and over enrolled in school,181154,(+/- 5650 ),177660,(+/- 4166 ),186184,(+/- 6236 ),202178,(+/- 5365 ),167579,(+/- 6437 )
Education,School Enrollment,"Nursery school, preschool",11159,(+/- 1594 ),11913,(+/- 1672 ),10249,(+/- 1989 ),14106,(+/- 1740 ),10193,(+/- 1822 )
Education,School Enrollment,Kindergarten,7677,(+/- 1359 ),7488,(+/- 1527 ),9228,(+/- 1569 ),10376,(+/- 1781 ),6449,(+/- 1339 )
Education,School Enrollment,Elementary school (grades 1-8),71961,(+/- 3099 ),61079,(+/- 2827 ),64401,(+/- 3543 ),78830,(+/- 3313 ),67683,(+/- 4540 )
Education,School Enrollment,High school (grades 9-12),39899,(+/- 1801 ),34833,(+/- 2170 ),36475,(+/- 2608 ),46170,(+/- 2654 ),38557,(+/- 2630 )
Education,School Enrollment,College or graduate school,50458,(+/- 3533 ),62347,(+/- 3029 ),65831,(+/- 3989 ),52696,(+/- 3581 ),44697,(+/- 3747 )
Education,Educational Attainment,Population 25 years and over,491367,(+/- 5832 ),485553,(+/- 4474 ),496087,(+/- 5800 ),493269,(+/- 3887 ),501461,(+/- 7629 )
Education,Educational Attainment,Less than 9th grade,22015,(+/- 2232 ),10684,(+/- 1609 ),18010,(+/- 2686 ),27093,(+/- 3065 ),22711,(+/- 2883 )
Education,Educational Attainment,"9th to 12th grade, no diploma",29943,(+/- 2798 ),23711,(+/- 1707 ),25855,(+/- 2325 ),24471,(+/- 2801 ),29442,(+/- 2979 )
Education,Educational Attainment,High school graduate (includes equivalency),138673,(+/- 5257 ),143463,(+/- 6015 ),153898,(+/- 5697 ),100786,(+/- 5488 ),141956,(+/- 6281 )
Education,Educational Attainment,"Some college, no degree",80007,(+/- 3893 ),93238,(+/- 4736 ),84711,(+/- 4532 ),70407,(+/- 4299 ),86787,(+/- 4803 )
Education,Educational Attainment,Associate's degree,40023,(+/- 2708 ),43923,(+/- 2954 ),34261,(+/- 2678 ),29566,(+/- 3088 ),38515,(+/- 3194 )
Education,Educational Attainment,Bachelor's degree,105070,(+/- 4614 ),98611,(+/- 4617 ),93200,(+/- 4157 ),135613,(+/- 5504 ),108875,(+/- 4720 )
Education,Educational Attainment,Graduate or professional degree,75636,(+/- 3828 ),71923,(+/- 4527 ),86152,(+/- 4253 ),105333,(+/- 4485 ),73175,(+/- 3384 )
Education,Educational Attainment,Percent high school graduate or higher,89.4,(+/- 0.7 ),92.9,(+/- 0.5 ),91.2,(+/- 0.7 ),89.5,(+/- 0.8 ),89.6,(+/- 0.8 )
Education,Educational Attainment,Percent bachelor's degree or higher,36.8,(+/- 1.0 ),35.1,(+/- 1.2 ),36.2,(+/- 1.1 ),48.8,(+/- 1.2 ),36.3,(+/- 1.2 )

Source: 2016 American Community Survey 1-Year Estimates
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
An '(X)' means that the estimate is not applicable or not available
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,District 01 Estimate,District 01 Flag,District 02 Estimate,District 02 Flag,District 03 Estimate,District 03 Flag,District 04 Estimate,District 04 Flag,District 05 Estimate,District 05 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,377872,G,215723,G,308835,G,336223,G,267494,G
Business,Paid employees for pay period including March 12,"Agriculture, forestry, fishing and hunting",21,J,77,H,14,J,153,G,69,H
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",94,J,166,H,94,G,33,H,540,J
Business,Paid employees for pay period including March 12,Utilities,h,D,1765,J,1421,J,904,J,662,J
Business,Paid employees for pay period including March 12,Construction,16000,G,8292,G,12244,G,8938,G,12640,G
Business,Paid employees for pay period including March 12,Manufacturing,44170,G,27878,H,37808,G,14298,G,31425,G
Business,Paid employees for pay period including March 12,Wholesale trade,17939,G,8556,G,15082,G,20097,G,9904,G
Business,Paid employees for pay period including March 12,Retail trade,40304,G,35353,G,34422,G,36512,G,40331,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,14295,G,7568,G,8444,G,6652,G,6157,H
Business,Paid employees for pay period including March 12,Information,11267,H,3575,G,5406,H,12097,G,4871,G
Business,Paid employees for pay period including March 12,Finance and insurance,45041,H,6850,G,9979,G,43426,H,13617,G
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,4240,G,2018,G,4369,G,4960,G,4625,H
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",25015,G,12130,G,14143,G,33316,G,14315,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,5863,H,1395,G,5650,G,13199,G,7966,G
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,20663,G,5458,G,14317,G,21839,G,13778,G
Business,Paid employees for pay period including March 12,Educational services,11612,G,5101,G,38690,H,13546,G,7388,G
Business,Paid employees for pay period including March 12,Health care and social assistance,67955,G,38503,G,64465,G,52673,G,60922,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",6134,G,3541,G,3962,G,10016,G,4796,G
Business,Paid employees for pay period including March 12,Accommodation and food services,30082,G,39120,G,26660,G,28585,G,21935,G
Business,Paid employees for pay period including March 12,Other services (except public administration),14456,G,8332,G,11643,G,14910,G,11517,G
Business,Paid employees for pay period including March 12,Industries not classified,36,J,45,H,22,J,69,J,36,H
Business,"Annual payroll ($1,000)",Total for all sectors,22700042,G,9871541,G,16066503,G,30204132,G,14077634,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",522,J,2561,H,491,H,9724,H,1595,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",12363,H,10354,H,9736,H,1793,G,27156,H
Business,"Annual payroll ($1,000)",Utilities,D,D,198775,J,141308,J,125284,H,79332,J
Business,"Annual payroll ($1,000)",Construction,1126249,G,531711,G,803128,G,651781,G,902783,G
Business,"Annual payroll ($1,000)",Manufacturing,3346683,H,1926844,H,2693585,G,1072115,G,2335681,G
Business,"Annual payroll ($1,000)",Wholesale trade,1267507,G,577214,G,1051291,G,2251177,G,719904,G
Business,"Annual payroll ($1,000)",Retail trade,1124887,G,986805,G,982251,G,1296335,G,1154678,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,611845,G,271655,G,364236,G,449097,G,242485,G
Business,"Annual payroll ($1,000)",Information,1200386,H,199313,G,405119,H,1280020,G,359734,H
Business,"Annual payroll ($1,000)",Finance and insurance,5382784,H,518086,H,932802,G,10361793,H,1163858,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,223218,G,88943,G,196486,G,374149,G,256084,H
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1929032,G,1224303,H,1251554,G,3716933,G,1211617,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,506135,G,96597,G,556582,H,2334149,G,1048845,H
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,814917,G,188526,G,447640,G,1374408,G,524555,G
Business,"Annual payroll ($1,000)",Educational services,395492,G,197040,H,2071371,H,571249,G,282465,G
Business,"Annual payroll ($1,000)",Health care and social assistance,3242185,G,1553906,H,3210874,H,2778516,G,2884886,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",116201,G,110406,G,83200,G,347583,G,105137,G
Business,"Annual payroll ($1,000)",Accommodation and food services,573572,G,961846,H,489104,G,676127,G,420126,G
Business,"Annual payroll ($1,000)",Other services (except public administration),512794,G,225331,G,375287,G,529068,G,355973,G
Business,"Annual payroll ($1,000)",Industries not classified,950,G,1325,G,458,H,2831,G,740,G
Business,Total Establishments,Total for all sectors,18540,X,14386,X,16503,X,21896,X,17551,X
Business,Total Establishments,"Agriculture, forestry, fishing and hunting",7,X,28,X,8,X,16,X,19,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",8,X,22,X,8,X,8,X,22,X
Business,Total Establishments,Utilities,28,X,32,X,21,X,27,X,24,X
Business,Total Establishments,Construction,1504,X,1478,X,1484,X,1699,X,1794,X
Business,Total Establishments,Manufacturing,1004,X,624,X,910,X,581,X,951,X
Business,Total Establishments,Wholesale trade,909,X,499,X,913,X,1001,X,779,X
Business,Total Establishments,Retail trade,2524,X,2444,X,2271,X,2612,X,2732,X
Business,Total Establishments,Transportation and warehousing,430,X,284,X,324,X,386,X,250,X
Business,Total Establishments,Information,344,X,239,X,300,X,506,X,314,X
Business,Total Establishments,Finance and insurance,1313,X,686,X,816,X,2049,X,1005,X
Business,Total Establishments,Real estate and rental and leasing,698,X,439,X,583,X,933,X,581,X
Business,Total Establishments,"Professional, scientific, and technical services",1766,X,1201,X,1623,X,2874,X,1639,X
Business,Total Establishments,Management of companies and enterprises,183,X,46,X,82,X,243,X,156,X
Business,Total Establishments,Administrative and support and waste management and remediation services,990,X,825,X,854,X,1529,X,1027,X
Business,Total Establishments,Educational services,242,X,221,X,275,X,427,X,270,X
Business,Total Establishments,Health care and social assistance,2382,X,1874,X,2083,X,2404,X,2241,X
Business,Total Establishments,"Arts, entertainment, and recreation",283,X,304,X,274,X,524,X,333,X
Business,Total Establishments,Accommodation and food services,1759,X,1559,X,1735,X,1925,X,1600,X
Business,Total Establishments,Other services (except public administration),2139,X,1557,X,1921,X,2098,X,1781,X
Business,Total Establishments,Industries not classified,27,X,24,X,18,X,54,X,33,X

Source: 2016 County Business Patterns for Congressional Districts
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
2. Industries not classified - Industry could not be determined.
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
5. Disclosure and Quality Indicator Flag Definitions:
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals
G Cell value changed by less than 2 percent by the application of noise
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise
J Cell value changed by 5 percent or more by the application of noise
S Cell value withheld because it did not meet publication standards
N Not available or not comparable
X Not applicable
a 0 to 19 employees
b 20 to 99 employees
c 100 to 249 employees
e 250 to 499 employees
f 500 to 999 employees
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
